Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logQmax,
228,0.16,1,361.3675,-0.2,7.94,0.39,10,25,7,-1.19314197,
228,0.16,1,261.2508,1.6,,2190,10,25,7,-1.403402904,
228,0.16,1,747.9571,3.16,8.99,0.342,10,25,7,-1.290475644,
228,0.16,1,837.0465,3,,202,10,25,7,-1.258060922,
,1.26,0,264.3078,0.14,7.35,202,10,25,7,-1.420673796,
,1.26,0,253.2809,0.89,5.7,610,10,25,7,-1.283078927,
,1.26,0,290.3212,0.91,7.45,400,10,25,7,-1.399353764,
,1.26,0,361.3675,-0.2,7.94,0.39,10,25,7,-1.311936303,
,1.26,0,261.2508,1.6,,2190,10,25,7,-1.709742731,
,1.26,0,747.9571,3.16,8.99,0.342,10,25,7,-1.452348342,
,1.26,0,837.0465,3,,202,10,25,7,-1.361510743,
,4.74,0,264.3078,0.14,7.35,202,10,25,7,-1.405939099,
,4.74,0,253.2809,0.89,5.7,610,10,25,7,-1.100891142,
,4.74,0,290.3212,0.91,7.45,400,10,25,7,-1.220259249,
,4.74,0,361.3675,-0.2,7.94,0.39,10,25,7,-0.908333042,
,4.74,0,261.2508,1.6,,2190,10,25,7,-0.91150953,
,4.74,0,747.9571,3.16,8.99,0.342,10,25,7,-0.684029655,
,4.74,0,837.0465,3,,202,10,25,7,-0.692076296,
45.37,1.25,1,444.44,-1.37,7.7,1690,,25,4,0.618048097,
62.33,1.33,0,444.44,-1.37,7.7,1690,,25,4,1.146748014,
150,,1,253.28,0.89,5.57,610,5,25,,0.851209411,
250,2.87,0,253.28,0.89,5.8,610,1,,,-0.899881143,
230,2.48,0,253.28,0.89,5.8,610,1,,,-0.965375553,
250,2.5,0,253.28,0.89,5.8,610,1,,,-0.810147691,
300,2.22,0,253.28,0.89,5.8,610,1,,,-0.897490831,
200,1.15,0,253.28,0.89,5.8,610,1,,,-1.074383699,
3,,0,916.1,1.63,7.5,,,25,3,2.129179619,
74,,1,367.802,1.32,6.1,19440,0.2,25,,1.245512668,
74,,0,367.802,1.32,6.1,19440,0.2,25,,0.485721426,
74,,1,367.802,1.32,6.1,19440,0.2,25,,1.130333768,
74,,0,367.802,1.32,6.1,19440,0.2,25,,0.595496222,
74,,1,367.802,1.32,6.1,19440,0.2,25,,1.257678575,
74,,0,367.802,1.32,6.1,19440,0.2,25,,0.475671188,
100,0.23,1,444.44,-1.37,7.7,1690,5,25,,-0.709965389,
100,0.35,0,444.44,-1.37,7.7,1690,5,25,,-0.488116639,
100,0.76,0,444.44,-1.37,7.7,1690,5,25,,-0.565431096,
100,1.16,0,444.44,-1.37,7.7,1690,5,25,,-0.53165267,
100,0.23,1,444.44,-1.37,7.7,1690,5,25,,-0.161150909,
100,0.35,0,444.44,-1.37,7.7,1690,5,25,,0.005609445,
100,0.76,0,444.44,-1.37,7.7,1690,5,25,,-0.064996849,
100,1.16,0,444.44,-1.37,7.7,1690,5,25,,0.120902818,
50,,0,331.341,0.28,6.1,19440,0.5,25,7,1.467756051,
100,,0,331.341,0.28,6.1,19440,0.5,25,7,0.819609733,
325,,1,444.44,-1.37,7.7,1690,6.67,25,7,-0.883060353,
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,-1.142667504,
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.260032303,
325,,1,444.44,-1.37,7.7,1690,6.67,25,7,-0.857923539,
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.769295686,
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,0.300160537,
200,0.294,1,319.33,0.46,8.8,400,2,20,7,-0.807413035,
101.6,0.772,1,444.44,-1.37,7.7,1690,1,25,7,0.760196229,
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,0.843569117,
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,0.975505334,
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,1.210698328,
101.6,1.1177,0,444.44,-1.37,7.7,1690,1,25,7,1.364869799,
101.6,1.6028,1,444.44,-1.37,7.7,1690,1,25,7,1.125949466,
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,0.987362331,
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,1.200459238,
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,1.332315224,
101.6,1.9418,0,444.44,-1.37,7.7,1690,1,25,7,1.434332532,
75,0.1478,1,253.28,0.89,5.7,610,2,25,7,-0.246646787,
75,0.1375,0,253.28,0.89,5.7,610,2,25,7,-0.445147566,
75,0.1599,0,253.28,0.89,5.7,610,2,25,7,-0.718058067,
75,0.1566,0,253.28,0.89,5.7,610,2,25,7,-0.059782444,
175,28.561,1,444.44,-1.37,7.7,1690,6.67,25,7,-0.347173697,
175,35.286,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.273028416,
175,36.36,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.220692172,
175,41.324,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.194227368,
175,49.561,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.183891329,
,0.173,1,916.1,1.63,7.5,,1.2,25,,0.221849618,
,0.348,1,916.1,1.63,7.5,,1.2,25,,0.522878311,
,0.836,1,916.1,1.63,7.5,,1.2,25,,0.522878311,
,,0,444.44,-1.37,7.7,1690,1,40,6,0.199206479,
,,0,444.44,-1.37,7.7,1690,1,25,6,0.05422991,
,,0,444.44,-1.37,7.7,1690,1,10,6,0.003891166,
,,0,444.44,-1.37,7.7,1690,1,40,6,0.284656283,
,,0,444.44,-1.37,7.7,1690,1,25,6,0.219060332,
,,0,444.44,-1.37,7.7,1690,1,10,6,0.194791758,
125,0.48,0,280.303,0.14,7.4,,2,25,,1.593035278,
0.055,19.48,0,319.33,0.8,8.8,400,0.1,25,6.5,1.569256833,
0.055,19.48,0,319.33,0.8,8.8,400,0.1,25,6.5,1.759290033,
0.055,19.48,0,361.37,-0.4,8.15,3230,0.1,25,6.5,1.488550717,
0.055,19.48,0,361.37,-0.4,8.15,3230,0.1,25,6.5,1.718086295,
75,1.295,1,319.33,0.46,8.8,400,0.5,15,7,1.204391332,
75,1.295,1,319.33,0.46,8.8,400,0.5,25,7,1.105169428,
75,1.295,1,319.33,0.46,8.8,400,0.5,35,7,1.005609445,
75,3.428,0,319.33,0.46,8.8,400,0.5,15,7,1.152288344,
75,3.428,0,319.33,0.46,8.8,400,0.5,25,7,1.099680641,
75,3.428,0,319.33,0.46,8.8,400,0.5,35,7,0.948901761,
75,1.9,1,319.33,0.46,8.8,400,0.5,15,7,1.179551791,
75,1.9,1,319.33,0.46,8.8,400,0.5,25,7,1.090610708,
75,1.9,1,319.33,0.46,8.8,400,0.5,35,7,0.920645001,
75,4.11,0,319.33,0.46,8.8,400,0.5,15,7,1.151982395,
75,4.11,0,319.33,0.46,8.8,400,0.5,25,7,1.016197354,
75,4.11,0,319.33,0.46,8.8,400,0.5,35,7,0.868056362,
75,3.528,1,319.33,0.46,8.8,400,0.5,15,7,1.147057671,
75,3.528,1,319.33,0.46,8.8,400,0.5,25,7,1.033825694,
75,3.528,1,319.33,0.46,8.8,400,0.5,35,7,0.915927212,
75,4.36,0,319.33,0.46,8.8,400,0.5,15,7,1.06069784,
75,4.36,0,319.33,0.46,8.8,400,0.5,25,7,0.94792362,
75,4.36,0,319.33,0.46,8.8,400,0.5,35,7,0.856124444,
75,13.901,1,319.33,0.46,8.8,400,0.5,15,7,1.122543524,
75,13.901,1,319.33,0.46,8.8,400,0.5,25,7,0.999565488,
75,13.901,1,319.33,0.46,8.8,400,0.5,35,7,0.912753304,
75,15.84,0,319.33,0.46,8.8,400,0.5,15,7,1.015359755,
75,15.84,0,319.33,0.46,8.8,400,0.5,25,7,0.999130541,
75,15.84,0,319.33,0.46,8.8,400,0.5,35,7,0.789580712,
,,0,444.44,-1.37,7.7,1690,12,25,7,-0.538950406,
,,0,331.341,0.28,6.1,19440,12,25,7,0.977542576,
,,0,253.28,0.89,5.7,610,12,25,7,0.962646783,
,,0,289.54,4.76,7.9,,12,25,7,1.356162726,
,,0,444.44,-1.37,7.7,1690,12,25,8.18,-0.912028443,
,,0,331.341,0.28,6.1,19440,12,25,8.18,-1.221897249,
,,0,253.28,0.89,5.7,610,12,25,8.18,-0.633842183,
,,0,289.54,4.76,7.9,,12,25,8.18,1.591732128,
150,1.941,1,444.44,-1.37,7.7,1690,1,35,,0.245018871,
150,1.941,1,444.44,-1.37,7.7,1690,1,25,,0.133219457,
150,1.941,1,444.44,-1.37,7.7,1690,1,15,,0.123851641,
150,2.653,0,444.44,-1.37,7.7,1690,1,35,,0.126780577,
150,2.653,0,444.44,-1.37,7.7,1690,1,25,,0.105510185,
150,2.653,0,444.44,-1.37,7.7,1690,1,15,,0.111598525,
0.098,67,0,319.33,0.46,8.8,400,,25,,1.359835482,
112.5,1.4,1,460.343,-1.22,7.5,,10,25,5.5,-0.235684109,
112.5,1.05,0,460.343,-1.22,7.5,,10,25,5.5,-0.137973031,
112.5,3.95,0,460.343,-1.22,7.5,,10,25,5.5,0.076766382,
150,0.2341,0,444.44,-1.37,7.7,1690,5,25,6.8,-0.962573502,
280,0.0365,0,444.44,-1.37,7.7,1690,5,25,6.8,-0.946921557,
280,0.0596,0,444.44,-1.37,7.7,1690,5,25,6.8,-0.777283529,
112.5,1.24,0,444.44,-1.37,7.7,1690,0.4,25,,-0.017728767,
112.5,2.3,0,444.44,-1.37,7.7,1690,0.4,25,,0.195899652,
112.5,1.24,0,331.341,0.28,6.1,19440,0.4,25,,-0.173925197,
112.5,2.3,0,331.341,0.28,6.1,19440,0.4,25,,-0.070581074,
125,,0,253.28,0.89,5.7,610,2,25,10,0.379668034,
125,15.806,0,253.28,0.89,5.7,610,2,25,10,0.601408061,
125,3.948,0,253.28,0.89,5.7,610,2,25,10,-0.787812396,
125,,0,253.28,0.89,5.7,610,2,25,10,-0.568636236,
125,6.43524,0,253.28,0.89,5.7,610,2,25,10,-0.368556231,
125,2.544,1,319.33,0.46,8.8,400,5,25,,0.992111488,
125,15.826,0,319.33,0.46,8.8,400,5,25,,1.183013463,
125,3.965,1,319.33,0.46,8.8,400,5,25,,0.711047604,
125,6.488,0,319.33,0.46,8.8,400,5,25,,0.771146349,
125,3.218,1,319.33,0.46,8.8,400,5,25,,0.407560849,
125,12.306,0,319.33,0.46,8.8,400,5,25,,0.544192111,
0.0401,,1,367.802,1.32,6.1,19440,0.5,25,,0.745855195,
,,0,367.802,1.32,6.1,19440,0.5,25,,0.728353782,
30,,1,444.45,-1.37,7.7,1690,0.4,25,,-0.163675884,
30,0.957,0,444.45,-1.37,7.7,1690,0.4,25,,-0.036684489,
30,1.068,0,444.45,-1.37,7.7,1690,0.4,25,,0.094121596,
30,1.347,0,444.45,-1.37,7.7,1690,0.4,25,,0.216429831,
1000,0.079,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.531948209,
1000,0.137,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.313810766,
1000,0.046,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.802719442,
1000,0.065,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.592609096,
1000,0.116,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.499626286,
1000,0.072,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.398048596,
5,0.0532,0,444.44,-1.37,7.7,1690,5,25,,-2.585026652,
5,0.0481,0,444.44,-1.37,7.7,1690,5,25,,-1.987162775,
85.5,5.42,1,331.341,0.28,6.1,19440,2,25,,1.180408046,
23.3,5.48,0,331.341,0.28,6.1,19440,2,25,,1.416945405,
12.2,5.99,0,331.341,0.28,6.1,19440,2,25,,1.429816693,
7.7,7.48,0,331.341,0.28,6.1,19440,2,25,,1.364611211,
500,0.0824727,1,331.341,0.28,6.1,19440,6.7,25,5.5,1.246005904,
500,0.0539636,0,331.341,0.28,6.1,19440,6.7,25,5.5,1.080626487,
500,0.227055,0,331.341,0.28,6.1,19440,6.7,25,5.5,1.023663918,
154,0.14,0,419.45,0.75,7.4,3430,1,25,,1.46478752,
1,,0,361.37,-0.4,8.15,3230,0.25,25,,0.533009022,
125,,0,361.37,-0.4,8.15,3230,0.25,25,,0.530967682,
250,,0,361.37,-0.4,8.15,3230,0.25,25,,0.501880494,
500,,0,361.37,-0.4,8.15,3230,0.25,25,,0.472317546,
69.86,8.71,0,444.44,-1.37,7.7,1690,4,25,6,-1.124938737,
204.7,2.11,0,444.44,-1.37,7.7,1690,4,25,6,-0.812479279,
192,0.001,0,444.44,-1.37,7.7,1690,4,25,6,-1.065501549,
,0.017,1,480.9,,,,18,25,,-0.232844134,
,0.327,0,480.9,,,,18,25,,-0.209714836,
,0.467,0,480.9,,,,18,25,,-0.163675884,
613.55,1.05,1,,,,,0.4,27,7,0.212187604,
138.48,3.41,0,,,,,0.4,27,7,1.167317335,
613.55,1.05,1,419.45,0.75,7.4,3430,0.4,27,7,0.532754379,
138.48,3.41,0,419.45,0.75,7.4,3430,0.4,27,7,1.017033339,
160.37,0.32,1,,,,,0.4,27,7,0.238046103,
138.53,0.86,0,,,,,0.4,27,7,0.716003344,
160.37,0.32,1,419.45,0.75,7.4,3430,0.4,27,7,0.478566496,
138.53,0.86,0,419.45,0.75,7.4,3430,0.4,27,7,0.697229343,
110,1.579,1,460.343,-1.22,7.5,,0.4,25,,0.710963119,
110,5.436,0,460.343,-1.22,7.5,,0.4,25,,0.764922985,
110,1.579,1,,,,,0.4,25,,0.509202522,
110,5.436,0,,,,,0.4,25,,0.762678564,
180,0.656,1,444.44,-1.37,7.7,1690,2,25,,0.052690095,
180,0.896,0,444.44,-1.37,7.7,1690,2,25,,0.144016583,
180,1.301,1,444.44,-1.37,7.7,1690,2,25,,0.174577278,
180,1.387,0,444.44,-1.37,7.7,1690,2,25,,0.184583553,
164.7,13.7,0,331.341,0.28,6.1,19440,2,25,6,0.266231697,
135.9,9.3,0,331.341,0.28,6.1,19440,2,25,6,0.269979677,
180,,0,331.341,0.28,6.1,19440,1,25,,1.286680969,
180,,0,331.341,0.28,6.1,19440,1,25,,1.193458543,
180,,0,331.341,0.28,6.1,19440,1,25,,1.04453976,
150,2.25,0,916.1,1.63,7.5,,1,,,0.031004281,
150,2.25,0,444.44,,7.7,1690,1,,,-0.175874166,
150,1.4,0,916.1,1.63,7.5,,1,,,-0.165579296,
150,1.4,0,444.44,,7.7,1690,1,,,-0.07109231,
150,1.34,0,916.1,1.63,7.5,,1,,,0.256958153,
150,1.34,0,444.44,,7.7,1690,1,,,-0.055517328,
,,0,319.33,0.46,8.8,400,1,25,,0.582631439,
,,0,319.33,0.46,8.8,400,1,25,,0.452859336,
,,0,319.33,0.46,8.8,400,1,25,,0.715418323,
